phase,interval_start_utc,interval_end_utc,sp_start_date,sp_end_date,weeks,start_price,end_price,total_return
max_to_min,1951-06-25 07:29,1951-12-21 23:22,1951-07-02,1951-12-17,24,21.1,23.41,0.109479
min_to_max,1951-12-21 23:22,1953-06-06 17:34,1951-12-24,1953-06-01,75,23.540001,24.15,0.025913
max_to_min,1953-06-06 17:34,1953-09-22 23:59,1953-06-08,1953-09-21,15,24.01,22.879999,-0.047064
min_to_max,1953-09-22 23:59,1955-05-02 04:36,1953-09-28,1955-05-02,83,23.450001,38.040001,0.622175
max_to_min,1956-05-13 19:55,1956-12-04 19:39,1956-05-14,1956-12-03,29,46.860001,45.98,-0.018779
min_to_max,1956-12-04 19:39,1957-07-27 06:51,1956-12-10,1957-07-22,32,46.799999,48.470001,0.035684
max_to_min,1962-06-09 22:52,1963-01-06 18:56,1962-06-11,1962-12-31,29,57.82,63.099998,0.091318
min_to_max,1964-01-12 11:24,1964-06-23 03:45,1964-01-13,1964-06-22,23,76.220001,81.110001,0.064156
max_to_min,1967-05-21 06:11,1967-11-18 02:40,1967-05-22,1967-11-13,25,91.669998,91.970001,0.003273
min_to_max,1967-11-18 02:40,1968-08-09 04:05,1967-11-20,1968-08-05,37,91.650002,96.849998,0.056738
max_to_min,1971-05-13 18:32,1971-09-11 21:11,1971-05-17,1971-09-06,16,100.690002,100.690002,0.0
min_to_max,1971-09-11 21:11,1973-05-24 23:10,1971-09-13,1973-05-21,88,100.07,102.730003,0.026581
max_to_min,1973-05-24 23:10,1974-12-27 14:49,1973-05-28,1974-12-23,82,107.940002,65.959999,-0.38892
min_to_max,1974-12-27 14:49,1975-07-09 02:36,1974-12-30,1975-07-07,27,67.160004,93.540001,0.392793
max_to_min,1978-04-29 23:32,1978-10-28 19:49,1978-05-01,1978-10-23,25,97.669998,98.18,0.005222
min_to_max,1978-10-28 19:49,1980-06-29 06:25,1978-10-30,1980-06-23,86,95.059998,114.510002,0.204608
max_to_min,1980-06-29 06:25,1980-12-16 10:42,1980-06-30,1980-12-15,24,114.239998,129.449997,0.133141
min_to_max,1980-12-16 10:42,1982-05-31 20:54,1980-12-22,1982-05-31,75,135.779999,111.879997,-0.17602
max_to_min,1982-05-31 20:54,1982-09-19 04:46,1982-06-07,1982-09-13,14,110.120003,122.239998,0.110062
min_to_max,1982-09-19 04:46,1984-05-07 11:27,1982-09-20,1984-05-07,85,122.510002,159.470001,0.30169
max_to_min,1985-05-10 12:46,1985-12-11 02:49,1985-05-13,1985-12-09,30,184.610001,204.25,0.106386
min_to_max,1985-12-11 02:49,1986-07-23 11:20,1985-12-16,1986-07-21,31,212.020004,236.240005,0.114235
max_to_min,1991-06-15 04:01,1992-01-01 19:57,1991-06-17,1991-12-30,28,380.130005,415.140015,0.0921
min_to_max,1993-01-17 10:44,1993-06-18 09:24,1993-01-18,1993-06-14,21,436.839996,447.709991,0.024883
max_to_min,1996-05-19 13:55,1996-11-23 01:52,1996-05-20,1996-11-18,26,673.150024,737.02002,0.094882
min_to_max,1996-11-23 01:52,1997-08-05 19:10,1996-11-25,1997-08-04,36,757.030029,950.299988,0.2553
max_to_min,2000-05-07 06:05,2000-09-11 11:15,2000-05-08,2000-09-11,18,1424.170044,1489.26001,0.045704
min_to_max,2000-09-11 11:15,2002-05-30 06:18,2000-09-18,2002-05-27,88,1444.51001,1083.819946,-0.249697
max_to_min,2002-05-30 06:18,2004-01-01 21:18,2002-06-03,2003-12-29,82,1040.680054,1109.47998,0.066111
min_to_max,2004-01-01 21:18,2004-07-04 03:32,2004-01-05,2004-06-28,25,1122.219971,1133.349976,0.009918
max_to_min,2007-05-11 08:38,2007-11-04 07:33,2007-05-14,2007-10-29,24,1503.150024,1540.97998,0.025167
min_to_max,2007-11-04 07:33,2008-08-18 05:35,2007-11-05,2008-08-18,41,1502.170044,1278.599976,-0.148831
max_to_min,2008-08-18 05:35,2009-12-12 16:26,2008-08-25,2009-12-07,67,1266.839966,1103.25,-0.129132
min_to_max,2009-12-12 16:26,2010-03-30 04:19,2009-12-14,2010-03-29,15,1114.109985,1173.219971,0.053056
max_to_min,2011-05-26 22:22,2011-09-16 08:49,2011-05-30,2011-09-12,15,1331.099976,1162.27002,-0.126835
min_to_max,2011-09-16 08:49,2013-05-13 05:12,2011-09-19,2013-05-13,86,1204.089966,1633.77002,0.35685
max_to_min,2013-05-13 05:12,2014-12-16 19:00,2013-05-20,2014-12-15,82,1666.290039,1989.630005,0.194048
min_to_max,2014-12-16 19:00,2015-07-19 11:54,2014-12-22,2015-07-13,29,2078.540039,2099.600098,0.010132
max_to_min,2020-06-19 04:10,2020-12-27 06:52,2020-06-22,2020-12-21,26,3117.860107,3694.919922,0.185082
min_to_max,2020-12-27 06:52,2022-06-13 00:38,2020-12-28,2022-06-13,76,3735.360107,3749.629883,0.00382
max_to_min,2022-06-13 00:38,2022-09-27 15:05,2022-06-20,2022-09-26,14,3674.840088,3655.040039,-0.005388
min_to_max,2022-09-27 15:05,2024-04-24 03:31,2022-10-03,2024-04-22,81,3678.429932,5010.600098,0.362157
