*******************************************************************************
JPL/HORIZONS                  4 Vesta (A807 FA)            2025-Nov-13 09:11:30
Rec #:       4 (+COV) Soln.date: 2021-Apr-13_11:15:57   # obs: 9451 (1950-2021)
 
IAU76/J2000 helio. ecliptic osc. elements (au, days, deg., period=Julian yrs):
 
  EPOCH=  2458849.5 ! 2020-Jan-01.00 (TDB)         Residual RMS= .47385
   EC= .08857261385730482  QR= 2.15270823108896    TP= 2458247.8038331456
   OM= 103.8092892453337   W=  150.8357762126256   IN= 7.14181494423702
   A= 2.361908654291772    MA= 163.3754032354997   ADIST= 2.571109077494583
   PER= 3.62997            N= .271524753           ANGMOM= .026333145
   DAN= 2.53982            DDN= 2.17514            L= 254.8345779
   B= 3.4734318            MOID= 1.13987994        TP= 2018-May-09.3038331456
 
Asteroid physical parameters (km, seconds, rotational period in hours):
   GM= 17.28828            RAD= 261.385            ROTPER= 5.342128
   H= 3.25                 G= .320                 B-V= .782
                           ALBEDO= .4228           STYP= V

ASTEROID comments: 
1: soln ref.= JPL#36, OCC=0           radar(2977 delay, 0 Dop
2: source=ORB
*******************************************************************************

  

*******************************************************************************
Ephemeris / WWW_USER Thu Nov 13 09:11:30 2025 Pasadena, USA      / Horizons    
*******************************************************************************
Target body name: 4 Vesta (A807 FA)               {source: JPL#36}
Center body name: Earth (399)                     {source: DE441}
Center-site name: GEOCENTRIC
*******************************************************************************
Start time      : A.D. 1900-Jan-01 00:00:00.0000 UT      
Stop  time      : A.D. 2025-Dec-31 00:00:00.0000 UT      
Step-size       : 10080 minutes
*******************************************************************************
Target pole/equ : IAU                             {East-longitude positive}
Target radii    : 289.0, 280.0, 229.0 km          {Equator_a, b, pole_c}       
Center geodetic : 0.0, 0.0, -6378.137             {E-lon(deg),Lat(deg),Alt(km)}
Center cylindric: 0.0, 0.0, 0.0                   {E-lon(deg),Dxy(km),Dz(km)}
Center pole/equ : ITRF93                          {East-longitude positive}
Center radii    : 6378.137, 6378.137, 6356.752 km {Equator_a, b, pole_c}       
Target primary  : Sun
Vis. interferer : MOON (R_eq= 1737.400) km        {source: DE441}
Rel. light bend : Sun                             {source: DE441}
Rel. lght bnd GM: 1.3271E+11 km^3/s^2                                          
Small-body perts: Yes                             {source: SB441-N16}
Atmos refraction: NO (AIRLESS)
RA format       : HMS
Time format     : CAL 
Calendar mode   : Mixed Julian/Gregorian
EOP file        : eop.251112.p260208                                           
EOP coverage    : DATA-BASED 1962-JAN-20 TO 2025-NOV-12. PREDICTS-> 2026-FEB-07
Units conversion: 1 au= 149597870.700 km, c= 299792.458 km/s, 1 day= 86400.0 s 
Table cut-offs 1: Elevation (-90.0deg=NO ),Airmass (>38.000=NO), Daylight (NO )
Table cut-offs 2: Solar elongation (  0.0,180.0=NO ),Local Hour Angle( 0.0=NO )
Table cut-offs 3: RA/DEC angular rate (     0.0=NO )                           
Table format    : Comma Separated Values (spreadsheet)
*******************************************************************************
Initial IAU76/J2000 heliocentric ecliptic osculating elements (au, days, deg.):
  EPOCH=  2458849.5 ! 2020-Jan-01.00 (TDB)         Residual RMS= .47385        
   EC= .08857261385730482  QR= 2.15270823108896    TP= 2458247.8038331456      
   OM= 103.8092892453337   W=  150.8357762126256   IN= 7.14181494423702        
  Equivalent ICRF heliocentric cartesian coordinates (au, au/d):
   X= 1.243605461680222E+00  Y= 2.133870405923554E+00  Z= 6.874866847781977E-01
  VX=-8.779290950353064E-03 VY= 4.462599423343603E-03 VZ= 2.927653651039283E-03
Asteroid physical parameters (km, seconds, rotational period in hours):        
   GM= 17.28828            RAD= 261.385            ROTPER= 5.342128            
   H= 3.25                 G= .320                 B-V= .782                   
                           ALBEDO= .4228           STYP= V                     
***************************************************************************************************************************************************************************************
 Date__(UT)__HR:MN, , , R.A._(ICRF), DEC__(ICRF),    APmag,  S-brt,             delta,     deldot,     S-O-T,/r,     S-T-O,  Sky_motion, Sky_mot_PA, RelVel-ANG,  Lun_Sky_Brt, sky_SNR,
***************************************************************************************************************************************************************************************
$$SOE
 1900-Jan-01 00:00, , , 01 20 11.03, +00 34 36.8,    7.868,  5.311,  2.21751849305136, 23.7450506,   97.1238,/T,   22.6358,   0.5131347,  51.001402,  59.918067,         n.a.,    n.a.,
 1900-Jan-08 00:00, , , 01 25 07.35, +01 30 26.2,    7.967,  5.319,  2.31393278402379, 23.9076370,   91.5385,/T,   22.7804,   0.5898185,  54.348678,  55.392326,         n.a.,    n.a.,
 1900-Jan-15 00:00, , , 01 30 54.86, +02 29 18.1,    8.057,  5.321,  2.41053736455278, 23.8508920,   86.1635,/T,   22.7103,   0.6577330,  56.817730,  51.216512,         n.a.,    n.a.,
 1900-Jan-22 00:00, , , 01 37 27.91, +03 30 29.9,    8.138,  5.320,  2.50655721083541, 23.6217610,   80.9753,/T,   22.4511,   0.7180216,  58.756161,  47.354994,         n.a.,    n.a.,
 1900-Jan-29 00:00, , , 01 44 42.02, +04 33 26.3,    8.210,  5.316,  2.60131255114906, 23.2236334,   75.9538,/T,   22.0240,   0.7718775,  60.372885,  43.735804,         n.a.,    n.a.,
 1900-Feb-05 00:00, , , 01 52 33.36, +05 37 34.2,    8.274,  5.307,  2.69409070071806, 22.6437602,   71.0860,/T,   21.4474,   0.8193494,  61.781293,  40.317827,         n.a.,    n.a.,
 1900-Feb-12 00:00, , , 02 00 57.95, +06 42 20.0,    8.330,  5.297,  2.78421758574997, 21.9226935,   66.3610,/T,   20.7408,   0.8601678,  63.032640,  37.134586,         n.a.,    n.a.,
 1900-Feb-19 00:00, , , 02 09 52.25, +07 47 14.4,    8.377,  5.283,  2.87121745851213, 21.0990821,   61.7632,/T,   19.9217,   0.8957589,  64.182001,  34.161634,         n.a.,    n.a.,
 1900-Feb-26 00:00, , , 02 19 13.66, +08 51 52.6,    8.417,  5.267,  2.95468110420859, 20.1708128,   57.2782,/T,   19.0035,   0.9272933,  65.277200,  31.340895,         n.a.,    n.a.,
 1900-Mar-05 00:00, , , 02 29 00.08, +09 55 50.8,    8.450,  5.248,  3.03414560988214, 19.1196778,   52.8972,/T,   17.9974,   0.9548345,  66.345272,  28.630482,         n.a.,    n.a.,
 1900-Mar-12 00:00, , , 02 39 09.13, +10 58 44.1,    8.475,  5.226,  3.10916180384610, 17.9802439,   48.6151,/T,   16.9160,   0.9780024,  67.390264,  26.063658,         n.a.,    n.a.,
 1900-Mar-19 00:00, , , 02 49 38.62, +12 00 10.6,    8.493,  5.201,  3.17945923670320, 16.7869351,   44.4223,/T,   15.7705,   0.9979124,  68.428047,  23.635620,         n.a.,    n.a.,
 1900-Mar-26 00:00, , , 03 00 27.08, +12 59 51.2,    8.505,  5.173,  3.24481886679384, 15.5344028,   40.3082,/T,   14.5691,   1.0154864,  69.477569,  21.302780,         n.a.,    n.a.,
 1900-Apr-02 00:00, , , 03 11 33.31, +13 57 27.6,    8.510,  5.143,  3.30495457798373, 14.2008781,   36.2658,/T,   13.3184,   1.0306688,  70.547621,  19.024778,         n.a.,    n.a.,
 1900-Apr-09 00:00, , , 03 22 55.73, +14 52 40.9,    8.508,  5.109,  3.35957548699033, 12.8156658,   32.2924,/T,   12.0267,   1.0429314,  71.632778,  16.830836,         n.a.,    n.a.,
 1900-Apr-16 00:00, , , 03 34 32.72, +15 45 14.3,    8.499,  5.072,  3.40855457723617, 11.4112187,   28.3828,/T,   10.7018,   1.0531202,  72.738010,  14.729795,         n.a.,    n.a.,
 1900-Apr-23 00:00, , , 03 46 23.24, +16 34 53.4,    8.484,  5.031,  3.45180941513455,  9.9802064,   24.5288,/T,    9.3489,   1.0619983,  73.872412,  12.687879,         n.a.,    n.a.,
 1900-Apr-30 00:00, , , 03 58 26.39, +17 21 24.6,    8.461,  4.986,  3.48917982163544,  8.4979887,   20.7252,/T,    7.9727,   1.0694215,  75.037453,  10.664722,         n.a.,    n.a.,
